Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01    29800     0.00     0.00  std::vector<Permutation, std::allocator<Permutation> >::size() const
  0.00      0.01     0.00   104624     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00    94200     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.01     0.00    91424     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00    62623     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00    61560     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.01     0.00    32520     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.01     0.00    29520     0.00     0.00  std::vector<Permutation, std::allocator<Permutation> >::operator[](unsigned long)
  0.00      0.01     0.00    29040     0.00     0.00  Permutation::operator==(Permutation const&) const
  0.00      0.01     0.00    29040     0.00     0.00  bool std::__equal<true>::equal<int>(int const*, int const*, int const*)
  0.00      0.01     0.00    29040     0.00     0.00  bool std::__equal_aux<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00    29040     0.00     0.00  bool std::__equal_aux1<int const*, int const*>(int const*, int const*, int const*)
  0.00      0.01     0.00    29040     0.00     0.00  bool std::equal<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00    29040     0.00     0.00  int std::__memcmp<int, int>(int const*, int const*, unsigned long)
  0.00      0.01     0.00    29040     0.00     0.00  bool std::operator==<int, std::allocator<int> >(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
  0.00      0.01     0.00     5880     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00     5400     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.01     0.00     5238     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00     4800     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.01     0.00     4800     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.01     0.00     4508     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.01     0.00     4304     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     3997     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      0.01     0.00     3946     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00     3018     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.01     0.00     3006     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.01     0.00     2928     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00     2807     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.01     0.00     2789     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.01     0.00     2781     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.01     0.00     2781     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.01     0.00     2781     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.01     0.00     2567     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
